Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
10,Cypher,sentinel,Swiftplay,All,,1.0, 5.1  /  5.1  /  1.7 ,49.8%,3.0%,198,0.2%,"29,430"
11,Skye,initiator,Swiftplay,All,,0.91, 4.9  /  5.3  /  2.5 ,49.8%,3.4%,193,0.1%,"33,084"
12,Neon,duelist,Swiftplay,All,,0.93, 5.3  /  5.6  /  1.5 ,49.6%,5.6%,209,0.1%,"54,925"
13,Viper,controller,Swiftplay,All,,0.95, 4.9  /  5.2  /  1.8 ,49.4%,3.5%,195,0.1%,"34,652"
14,Sova,initiator,Swiftplay,All,,0.92, 4.9  /  5.3  /  1.8 ,49.2%,4.3%,193,0.1%,"42,118"
15,Chamber,sentinel,Swiftplay,All,,1.04, 5.5  /  5.3  /  1.3 ,49.1%,3.4%,213,0.1%,"33,722"
16,Yoru,duelist,Swiftplay,All,,0.96, 5.2  /  5.4  /  1.5 ,49.0%,4.5%,202,0.1%,"44,192"
17,Harbor,controller,Swiftplay,All,,0.93, 5  /  5.4  /  1.9 ,48.8%,1.4%,197,0.1%,"13,704"
18,Fade,initiator,Swiftplay,All,,0.87, 4.7  /  5.4  /  2.1 ,48.5%,4.5%,186,0.1%,"44,659"
19,Omen,controller,Swiftplay,All,,0.97, 5.2  /  5.3  /  2 ,48.5%,4.7%,203,0.1%,"46,245"
20,KAY/O,initiator,Swiftplay,All,,0.91, 4.9  /  5.4  /  2.6 ,48.0%,3.6%,199,0.1%,"35,595"
1,Raze,duelist,Swiftplay,Split,,1.06, 5.8  /  5.5  /  1.8 ,51.5%,10.6%,237,0.1%,"12,053"
2,Phoenix,duelist,Swiftplay,Split,,1.05, 5.5  /  5.3  /  1.6 ,51.2%,5.7%,220,0.1%,"6,506"
3,Jett,duelist,Swiftplay,Split,,1.07, 5.9  /  5.5  /  1.5 ,51.0%,11.0%,232,0.1%,"12,527"
4,Reyna,duelist,Swiftplay,Split,,1.14, 6.1  /  5.4  /  1.7 ,50.7%,12.3%,240,0.1%,"14,032"
5,Skye,initiator,Swiftplay,Split,,0.94, 5  /  5.3  /  2.6 ,50.5%,3.7%,198,0.1%,"4,184"
6,Killjoy,sentinel,Swiftplay,Split,,0.98, 5  /  5.1  /  1.5 ,50.5%,4.2%,200,0.2%,"4,766"
7,Astra,controller,Swiftplay,Split,,1.07, 5.5  /  5.1  /  2.1 ,50.4%,1.5%,213,0.1%,"1,654"
8,Sage,sentinel,Swiftplay,Split,,0.9, 4.7  /  5.2  /  2.5 ,49.9%,10.4%,185,0.1%,"11,829"
9,Chamber,sentinel,Swiftplay,Split,,1.06, 5.6  /  5.3  /  1.4 ,49.7%,3.1%,216,0.1%,"3,539"
10,Breach,initiator,Swiftplay,Split,,0.96, 5.2  /  5.4  /  2.1 ,49.6%,1.8%,206,0.1%,"1,999"
11,Sova,initiator,Swiftplay,Split,,0.88, 4.7  /  5.3  /  1.8 ,49.6%,3.3%,185,0.1%,"3,752"
12,Cypher,sentinel,Swiftplay,Split,,1.03, 5.2  /  5.1  /  1.8 ,49.5%,3.5%,204,0.2%,"3,961"
13,Brimstone,controller,Swiftplay,Split,,0.94, 5  /  5.3  /  2.5 ,49.4%,2.3%,201,0.1%,"2,631"
14,Neon,duelist,Swiftplay,Split,,0.91, 5.1  /  5.7  /  1.5 ,49.3%,5.2%,205,0.1%,"5,968"
15,Yoru,duelist,Swiftplay,Split,,0.95, 5.1  /  5.4  /  1.5 ,49.1%,4.2%,200,0.1%,"4,828"
16,Omen,controller,Swiftplay,Split,,0.99, 5.3  /  5.3  /  2.1 ,48.5%,5.4%,207,0.1%,"6,179"
17,Harbor,controller,Swiftplay,Split,,0.93, 5  /  5.4  /  2 ,48.5%,1.2%,196,0.1%,"1,366"
18,Fade,initiator,Swiftplay,Split,,0.88, 4.7  /  5.4  /  2.1 ,48.2%,4.3%,187,0.1%,"4,929"
19,Viper,controller,Swiftplay,Split,,0.91, 4.8  /  5.2  /  1.8 ,48.2%,2.9%,191,0.1%,"3,273"
20,KAY/O,initiator,Swiftplay,Split,,0.88, 4.8  /  5.5  /  2.6 ,47.3%,3.5%,196,0.1%,"4,034"
1,Phoenix,duelist,Swiftplay,Ascent,,1.05, 5.6  /  5.3  /  1.6 ,51.5%,5.9%,221,0.1%,"6,343"
2,Astra,controller,Swiftplay,Ascent,,1.06, 5.4  /  5.1  /  2.3 ,51.3%,1.4%,212,0.1%,"1,498"
3,Killjoy,sentinel,Swiftplay,Ascent,,1.02, 5.1  /  5  /  1.5 ,51.1%,5.5%,205,0.2%,"5,984"
4,Reyna,duelist,Swiftplay,Ascent,,1.15, 6.2  /  5.4  /  1.6 ,51.1%,12.5%,243,0.1%,"13,484"
5,Jett,duelist,Swiftplay,Ascent,,1.07, 5.9  /  5.5  /  1.5 ,50.5%,11.9%,233,0.1%,"12,876"
6,Brimstone,controller,Swiftplay,Ascent,,0.95, 5  /  5.2  /  2.7 ,50.5%,2.5%,202,0.1%,"2,755"
7,Raze,duelist,Swiftplay,Ascent,,1.02, 5.6  /  5.5  /  1.8 ,50.1%,9.1%,229,0.1%,"9,891"
8,Sova,initiator,Swiftplay,Ascent,,0.99, 5.1  /  5.2  /  1.9 ,49.7%,5.5%,204,0.1%,"5,906"
9,Sage,sentinel,Swiftplay,Ascent,,0.87, 4.5  /  5.2  /  2.4 ,49.5%,9.1%,179,0.1%,"9,889"
10,Neon,duelist,Swiftplay,Ascent,,0.9, 5.1  /  5.7  /  1.5 ,49.5%,5.0%,204,0.1%,"5,362"
11,Yoru,duelist,Swiftplay,Ascent,,0.93, 5  /  5.4  /  1.5 ,49.5%,4.1%,197,0.1%,"4,401"
12,Omen,controller,Swiftplay,Ascent,,1.01, 5.4  /  5.3  /  2.3 ,49.5%,5.6%,209,0.1%,"6,065"
13,Skye,initiator,Swiftplay,Ascent,,0.91, 4.8  /  5.3  /  2.5 ,49.4%,2.9%,192,0.1%,"3,169"
14,Fade,initiator,Swiftplay,Ascent,,0.89, 4.8  /  5.3  /  2.1 ,49.3%,4.6%,188,0.1%,"4,974"
15,Harbor,controller,Swiftplay,Ascent,,0.89, 4.8  /  5.4  /  2 ,49.1%,1.2%,191,0.1%,"1,269"
16,Breach,initiator,Swiftplay,Ascent,,0.95, 5.2  /  5.5  /  2.2 ,49.1%,1.4%,205,0.1%,"1,533"
17,Chamber,sentinel,Swiftplay,Ascent,,1.04, 5.5  /  5.3  /  1.3 ,49.0%,3.1%,217,0.1%,"3,323"
18,Cypher,sentinel,Swiftplay,Ascent,,1.01, 5.1  /  5.1  /  1.8 ,48.9%,2.8%,199,0.1%,"3,036"
19,KAY/O,initiator,Swiftplay,Ascent,,0.91, 5  /  5.4  /  2.6 ,48.1%,3.6%,200,0.1%,"3,930"
20,Viper,controller,Swiftplay,Ascent,,0.89, 4.7  /  5.3  /  1.7 ,47.9%,2.3%,185,0.1%,"2,472"
1,Phoenix,duelist,Swiftplay,Haven,,1.07, 5.6  /  5.3  /  1.5 ,51.2%,6.0%,222,0.1%,"6,650"
2,Reyna,duelist,Swiftplay,Haven,,1.17, 6.2  /  5.3  /  1.6 ,51.2%,12.6%,244,0.1%,"14,021"
3,Jett,duelist,Swiftplay,Haven,,1.08, 5.9  /  5.4  /  1.4 ,50.9%,12.0%,233,0.1%,"13,347"
4,Raze,duelist,Swiftplay,Haven,,1.03, 5.6  /  5.4  /  1.6 ,50.8%,8.7%,226,0.1%,"9,664"
5,Astra,controller,Swiftplay,Haven,,1.1, 5.6  /  5.1  /  1.9 ,50.7%,1.3%,216,0.1%,"1,421"
6,Breach,initiator,Swiftplay,Haven,,0.97, 5.2  /  5.3  /  2.1 ,50.4%,1.9%,207,0.1%,"2,095"
7,Killjoy,sentinel,Swiftplay,Haven,,0.98, 4.9  /  5.1  /  1.4 ,50.3%,4.3%,198,0.2%,"4,782"
8,Harbor,controller,Swiftplay,Haven,,0.9, 4.9  /  5.4  /  2 ,50.3%,1.1%,194,0.1%,"1,231"
9,Cypher,sentinel,Swiftplay,Haven,,0.98, 5  /  5.1  /  1.7 ,50.1%,2.8%,196,0.2%,"3,135"
10,Sage,sentinel,Swiftplay,Haven,,0.88, 4.6  /  5.2  /  2.2 ,50.1%,9.2%,182,0.1%,"10,213"
11,Neon,duelist,Swiftplay,Haven,,0.92, 5.2  /  5.6  /  1.4 ,49.4%,5.4%,208,0.1%,"5,995"
12,Brimstone,controller,Swiftplay,Haven,,0.94, 5  /  5.3  /  2.4 ,49.3%,2.6%,200,0.1%,"2,831"
13,Skye,initiator,Swiftplay,Haven,,0.91, 4.8  /  5.3  /  2.4 ,49.3%,3.5%,193,0.1%,"3,869"
14,KAY/O,initiator,Swiftplay,Haven,,0.9, 4.8  /  5.4  /  2.6 ,49.1%,3.5%,196,0.1%,"3,848"
15,Sova,initiator,Swiftplay,Haven,,0.93, 4.9  /  5.3  /  1.7 ,48.9%,4.5%,195,0.1%,"5,011"
16,Chamber,sentinel,Swiftplay,Haven,,1.01, 5.3  /  5.3  /  1.3 ,48.8%,3.3%,208,0.1%,"3,651"
17,Yoru,duelist,Swiftplay,Haven,,0.95, 5.1  /  5.4  /  1.5 ,48.7%,4.4%,201,0.1%,"4,890"
18,Omen,controller,Swiftplay,Haven,,0.99, 5.2  /  5.3  /  2 ,48.6%,6.2%,206,0.1%,"6,884"
19,Viper,controller,Swiftplay,Haven,,0.87, 4.6  /  5.3  /  1.7 ,48.5%,2.2%,185,0.1%,"2,418"
20,Fade,initiator,Swiftplay,Haven,,0.88, 4.7  /  5.4  /  2 ,48.5%,4.4%,187,0.1%,"4,894"
1,Killjoy,sentinel,Swiftplay,Icebox,,0.98, 4.9  /  5  /  1.4 ,51.3%,3.9%,197,0.2%,"4,153"
2,Reyna,duelist,Swiftplay,Icebox,,1.17, 6.2  /  5.3  /  1.5 ,51.3%,12.6%,244,0.1%,"13,543"
3,Viper,controller,Swiftplay,Icebox,,1.0, 5.1  /  5.1  /  1.8 ,50.9%,6.0%,202,0.2%,"6,420"
4,Jett,duelist,Swiftplay,Icebox,,1.1, 6  /  5.5  /  1.5 ,50.7%,12.2%,238,0.1%,"13,154"
5,Phoenix,duelist,Swiftplay,Icebox,,1.03, 5.4  /  5.3  /  1.5 ,50.6%,5.3%,215,0.1%,"5,668"
6,Sage,sentinel,Swiftplay,Icebox,,0.87, 4.5  /  5.2  /  2.2 ,50.4%,10.3%,180,0.1%,"11,076"
7,Raze,duelist,Swiftplay,Icebox,,1.01, 5.5  /  5.5  /  1.6 ,50.3%,9.1%,223,0.1%,"9,724"
8,Yoru,duelist,Swiftplay,Icebox,,0.97, 5.2  /  5.4  /  1.4 ,49.8%,4.5%,201,0.1%,"4,861"
9,Harbor,controller,Swiftplay,Icebox,,0.96, 5.2  /  5.4  /  1.9 ,49.7%,1.2%,204,0.1%,"1,327"
10,Neon,duelist,Swiftplay,Icebox,,0.93, 5.3  /  5.7  /  1.5 ,49.6%,5.5%,210,0.1%,"5,921"
11,Skye,initiator,Swiftplay,Icebox,,0.91, 4.8  /  5.3  /  2.3 ,49.4%,2.6%,192,0.1%,"2,784"
12,Sova,initiator,Swiftplay,Icebox,,0.95, 5  /  5.2  /  1.8 ,49.4%,5.9%,196,0.1%,"6,326"
13,Chamber,sentinel,Swiftplay,Icebox,,1.05, 5.5  /  5.3  /  1.3 ,49.3%,3.3%,214,0.1%,"3,583"
14,Brimstone,controller,Swiftplay,Icebox,,0.91, 4.8  /  5.3  /  2 ,49.0%,1.8%,191,0.1%,"1,915"
15,Astra,controller,Swiftplay,Icebox,,1.02, 5.3  /  5.1  /  1.6 ,48.6%,0.7%,203,0.1%,712
16,Omen,controller,Swiftplay,Icebox,,0.97, 5.2  /  5.4  /  1.7 ,48.2%,4.2%,205,0.1%,"4,550"
17,Breach,initiator,Swiftplay,Icebox,,0.94, 5.1  /  5.4  /  2 ,48.1%,1.2%,201,0.1%,"1,307"
18,Cypher,sentinel,Swiftplay,Icebox,,0.95, 4.9  /  5.2  /  1.6 ,48.0%,1.9%,191,0.1%,"2,086"
19,KAY/O,initiator,Swiftplay,Icebox,,0.92, 5  /  5.4  /  2.6 ,47.6%,3.6%,201,0.1%,"3,893"
20,Fade,initiator,Swiftplay,Icebox,,0.86, 4.6  /  5.4  /  2.1 ,47.5%,4.1%,185,0.1%,"4,387"
1,Reyna,duelist,Swiftplay,Breeze,,1.19, 6.2  /  5.2  /  1.6 ,51.8%,12.7%,245,0.1%,"13,774"
2,Jett,duelist,Swiftplay,Breeze,,1.12, 6.1  /  5.4  /  1.5 ,51.2%,12.7%,238,0.1%,"13,753"
3,Killjoy,sentinel,Swiftplay,Breeze,,0.91, 4.6  /  5  /  1.4 ,51.0%,2.8%,187,0.2%,"3,075"
4,Phoenix,duelist,Swiftplay,Breeze,,1.03, 5.4  /  5.2  /  1.5 ,50.7%,5.2%,213,0.1%,"5,646"
5,Neon,duelist,Swiftplay,Breeze,,0.97, 5.4  /  5.6  /  1.4 ,50.5%,6.4%,213,0.1%,"6,891"
6,Cypher,sentinel,Swiftplay,Breeze,,1.0, 5.1  /  5.1  /  1.6 ,50.3%,3.0%,198,0.1%,"3,247"
7,Viper,controller,Swiftplay,Breeze,,1.0, 5.1  /  5.1  /  1.8 ,50.2%,6.3%,202,0.2%,"6,861"
8,Yoru,duelist,Swiftplay,Breeze,,0.99, 5.2  /  5.3  /  1.5 ,49.9%,5.0%,205,0.1%,"5,440"
9,Raze,duelist,Swiftplay,Breeze,,0.97, 5.2  /  5.4  /  1.5 ,49.9%,7.1%,211,0.1%,"7,727"
10,Sage,sentinel,Swiftplay,Breeze,,0.84, 4.4  /  5.2  /  2.1 ,49.7%,8.7%,175,0.1%,"9,393"
11,Skye,initiator,Swiftplay,Breeze,,0.89, 4.7  /  5.3  /  2.2 ,49.4%,3.4%,189,0.1%,"3,663"
12,Sova,initiator,Swiftplay,Breeze,,0.93, 4.9  /  5.3  /  1.8 ,49.4%,5.5%,193,0.1%,"5,977"
13,Chamber,sentinel,Swiftplay,Breeze,,1.06, 5.5  /  5.2  /  1.3 ,49.3%,4.3%,216,0.1%,"4,669"
14,Harbor,controller,Swiftplay,Breeze,,0.95, 5  /  5.3  /  1.8 ,48.9%,1.9%,198,0.1%,"2,002"
15,Brimstone,controller,Swiftplay,Breeze,,0.88, 4.7  /  5.3  /  1.8 ,48.7%,1.8%,187,0.1%,"1,907"
16,KAY/O,initiator,Swiftplay,Breeze,,0.93, 4.9  /  5.3  /  2.3 ,48.5%,4.0%,200,0.1%,"4,272"
17,Astra,controller,Swiftplay,Breeze,,0.99, 5.2  /  5.3  /  1.6 ,47.6%,0.7%,204,0.1%,750
18,Fade,initiator,Swiftplay,Breeze,,0.85, 4.5  /  5.3  /  1.9 ,47.4%,3.8%,182,0.1%,"4,080"
19,Breach,initiator,Swiftplay,Breeze,,0.92, 5  /  5.5  /  1.9 ,46.8%,1.2%,197,0.1%,"1,300"
20,Omen,controller,Swiftplay,Breeze,,0.91, 4.8  /  5.3  /  1.6 ,46.6%,3.4%,192,0.1%,"3,643"
1,Killjoy,sentinel,Swiftplay,Bind,,0.97, 4.9  /  5  /  1.4 ,51.5%,3.8%,196,0.2%,"4,202"
2,Phoenix,duelist,Swiftplay,Bind,,1.04, 5.5  /  5.3  /  1.5 ,51.2%,5.8%,218,0.1%,"6,327"
3,Astra,controller,Swiftplay,Bind,,1.1, 5.5  /  5  /  1.9 ,51.1%,1.2%,214,0.1%,"1,305"
4,Reyna,duelist,Swiftplay,Bind,,1.16, 6.2  /  5.3  /  1.6 ,51.0%,12.5%,243,0.1%,"13,685"
5,Brimstone,controller,Swiftplay,Bind,,0.98, 5.1  /  5.3  /  2.5 ,50.7%,3.4%,206,0.1%,"3,745"
6,Jett,duelist,Swiftplay,Bind,,1.07, 5.8  /  5.5  /  1.4 ,50.7%,10.9%,229,0.1%,"11,917"
7,Cypher,sentinel,Swiftplay,Bind,,1.0, 5.1  /  5.1  /  1.7 ,50.7%,3.4%,196,0.2%,"3,766"
8,Raze,duelist,Swiftplay,Bind,,1.07, 5.8  /  5.5  /  1.7 ,50.6%,11.1%,237,0.1%,"12,111"
9,Skye,initiator,Swiftplay,Bind,,0.93, 4.9  /  5.3  /  2.4 ,50.3%,4.1%,196,0.1%,"4,481"
10,Sage,sentinel,Swiftplay,Bind,,0.86, 4.5  /  5.3  /  2.2 ,49.7%,9.2%,181,0.1%,"10,066"
11,Viper,controller,Swiftplay,Bind,,0.92, 4.8  /  5.2  /  1.7 ,49.2%,2.6%,190,0.1%,"2,790"
12,Harbor,controller,Swiftplay,Bind,,0.92, 5  /  5.4  /  1.9 ,49.1%,1.1%,196,0.1%,"1,235"
13,Fade,initiator,Swiftplay,Bind,,0.87, 4.6  /  5.3  /  2 ,49.0%,4.7%,185,0.1%,"5,189"
14,Neon,duelist,Swiftplay,Bind,,0.91, 5.1  /  5.6  /  1.4 ,49.0%,5.0%,204,0.1%,"5,461"
15,Omen,controller,Swiftplay,Bind,,0.98, 5.2  /  5.3  /  1.9 ,48.9%,4.7%,204,0.1%,"5,087"
16,Breach,initiator,Swiftplay,Bind,,0.96, 5.2  /  5.5  /  2 ,48.9%,1.6%,207,0.1%,"1,710"
17,Sova,initiator,Swiftplay,Bind,,0.93, 4.9  /  5.3  /  1.7 ,48.8%,3.7%,194,0.1%,"4,014"
18,Chamber,sentinel,Swiftplay,Bind,,1.01, 5.3  /  5.3  /  1.3 ,48.5%,3.2%,207,0.1%,"3,531"
19,Yoru,duelist,Swiftplay,Bind,,0.97, 5.2  /  5.4  /  1.5 ,48.0%,4.8%,205,0.1%,"5,220"
20,KAY/O,initiator,Swiftplay,Bind,,0.9, 4.9  /  5.4  /  2.5 ,47.6%,3.2%,196,0.1%,"3,497"
1,Brimstone,controller,Swiftplay,Fracture,,0.99, 5.1  /  5.2  /  2.7 ,52.5%,3.7%,206,0.1%,"3,969"
2,Reyna,duelist,Swiftplay,Fracture,,1.17, 6.2  /  5.3  /  1.7 ,51.7%,12.5%,244,0.1%,"13,435"
3,Phoenix,duelist,Swiftplay,Fracture,,1.05, 5.5  /  5.2  /  1.6 ,51.5%,5.6%,218,0.1%,"6,022"
4,Jett,duelist,Swiftplay,Fracture,,1.1, 6  /  5.5  /  1.5 ,50.8%,11.2%,235,0.1%,"11,978"
5,Cypher,sentinel,Swiftplay,Fracture,,1.02, 5.2  /  5.1  /  1.8 ,50.7%,3.3%,203,0.2%,"3,579"
6,Raze,duelist,Swiftplay,Fracture,,1.05, 5.7  /  5.4  /  1.8 ,50.6%,9.0%,230,0.1%,"9,685"
7,Breach,initiator,Swiftplay,Fracture,,1.0, 5.4  /  5.4  /  2.3 ,50.3%,3.4%,213,0.1%,"3,702"
8,Sage,sentinel,Swiftplay,Fracture,,0.85, 4.4  /  5.2  /  2.3 ,50.0%,9.0%,178,0.1%,"9,673"
9,Skye,initiator,Swiftplay,Fracture,,0.9, 4.8  /  5.3  /  2.5 ,49.6%,3.3%,190,0.1%,"3,527"
10,Neon,duelist,Swiftplay,Fracture,,0.96, 5.4  /  5.6  /  1.5 ,49.4%,6.3%,215,0.1%,"6,806"
11,Killjoy,sentinel,Swiftplay,Fracture,,0.96, 4.9  /  5.1  /  1.5 ,49.1%,4.1%,195,0.2%,"4,398"
12,Astra,controller,Swiftplay,Fracture,,1.07, 5.4  /  5.1  /  2 ,49.0%,1.1%,210,0.2%,"1,196"
13,Viper,controller,Swiftplay,Fracture,,0.93, 4.9  /  5.2  /  1.8 ,48.9%,3.2%,194,0.1%,"3,440"
14,Yoru,duelist,Swiftplay,Fracture,,0.96, 5.1  /  5.3  /  1.6 ,48.6%,4.3%,200,0.1%,"4,635"
15,Chamber,sentinel,Swiftplay,Fracture,,1.04, 5.5  /  5.2  /  1.3 ,48.5%,3.3%,212,0.1%,"3,537"
16,Sova,initiator,Swiftplay,Fracture,,0.85, 4.6  /  5.4  /  1.8 ,48.4%,3.1%,183,0.1%,"3,355"
17,Omen,controller,Swiftplay,Fracture,,0.93, 4.9  /  5.3  /  1.9 ,48.3%,3.7%,196,0.1%,"3,997"
18,Fade,initiator,Swiftplay,Fracture,,0.85, 4.5  /  5.3  /  2.1 ,48.1%,4.7%,182,0.1%,"5,059"
19,Harbor,controller,Swiftplay,Fracture,,0.9, 4.9  /  5.4  /  1.9 ,48.0%,1.3%,191,0.1%,"1,434"
20,KAY/O,initiator,Swiftplay,Fracture,,0.92, 5  /  5.4  /  2.7 ,47.3%,3.6%,201,0.1%,"3,883"
1,Breach,initiator,Swiftplay,Pearl,,0.96, 5.2  /  5.4  /  2.2 ,52.7%,1.5%,205,0.1%,"1,593"
2,Brimstone,controller,Swiftplay,Pearl,,0.93, 4.9  /  5.3  /  2.5 ,51.5%,2.1%,196,0.1%,"2,278"
3,Astra,controller,Swiftplay,Pearl,,1.14, 5.7  /  5  /  2.1 ,51.4%,2.0%,221,0.2%,"2,161"
4,Reyna,duelist,Swiftplay,Pearl,,1.17, 6.2  /  5.3  /  1.7 ,51.3%,12.7%,246,0.1%,"13,633"
5,Phoenix,duelist,Swiftplay,Pearl,,1.06, 5.6  /  5.3  /  1.6 ,51.0%,6.3%,224,0.1%,"6,774"
6,Jett,duelist,Swiftplay,Pearl,,1.09, 5.9  /  5.5  /  1.5 ,51.0%,11.3%,234,0.1%,"12,198"
7,Killjoy,sentinel,Swiftplay,Pearl,,0.95, 4.8  /  5  /  1.5 ,50.3%,3.8%,195,0.2%,"4,044"
8,Raze,duelist,Swiftplay,Pearl,,1.02, 5.5  /  5.4  /  1.7 ,50.3%,8.2%,225,0.1%,"8,815"
9,Neon,duelist,Swiftplay,Pearl,,0.94, 5.2  /  5.6  /  1.5 ,50.2%,5.7%,211,0.1%,"6,125"
10,Sova,initiator,Swiftplay,Pearl,,0.9, 4.7  /  5.2  /  1.9 ,49.4%,3.6%,189,0.1%,"3,875"
11,Viper,controller,Swiftplay,Pearl,,0.95, 5  /  5.2  /  1.9 ,49.4%,4.0%,197,0.1%,"4,282"
12,Skye,initiator,Swiftplay,Pearl,,0.92, 4.9  /  5.3  /  2.6 ,49.4%,3.1%,196,0.1%,"3,342"
13,Sage,sentinel,Swiftplay,Pearl,,0.86, 4.4  /  5.2  /  2.4 ,49.2%,9.5%,177,0.1%,"10,266"
14,Cypher,sentinel,Swiftplay,Pearl,,0.99, 5.1  /  5.1  /  1.8 ,49.2%,3.2%,196,0.2%,"3,453"
15,Yoru,duelist,Swiftplay,Pearl,,0.98, 5.3  /  5.4  /  1.6 ,49.2%,4.6%,205,0.1%,"4,924"
16,Fade,initiator,Swiftplay,Pearl,,0.89, 4.7  /  5.3  /  2.1 ,49.1%,5.6%,190,0.1%,"6,072"
17,Chamber,sentinel,Swiftplay,Pearl,,1.04, 5.5  /  5.3  /  1.4 ,48.9%,3.6%,214,0.1%,"3,869"
18,KAY/O,initiator,Swiftplay,Pearl,,0.92, 5  /  5.4  /  2.7 ,48.4%,3.7%,201,0.1%,"3,946"
19,Harbor,controller,Swiftplay,Pearl,,0.93, 5  /  5.3  /  2 ,47.4%,1.7%,196,0.1%,"1,866"
20,Omen,controller,Swiftplay,Pearl,,0.93, 5  /  5.3  /  1.9 ,47.4%,3.8%,197,0.1%,"4,134"
1,Reyna,duelist,Swiftplay,Lotus,,1.18, 6.2  /  5.3  /  1.7 ,51.3%,12.7%,245,0.1%,"14,171"
2,Phoenix,duelist,Swiftplay,Lotus,,1.05, 5.6  /  5.3  /  1.6 ,51.2%,5.9%,221,0.1%,"6,541"
3,Raze,duelist,Swiftplay,Lotus,,1.05, 5.7  /  5.4  /  1.9 ,51.2%,9.4%,236,0.1%,"10,544"
4,Killjoy,sentinel,Swiftplay,Lotus,,0.97, 4.9  /  5.1  /  1.4 ,50.8%,4.2%,196,0.2%,"4,688"
5,Breach,initiator,Swiftplay,Lotus,,0.99, 5.3  /  5.4  /  2.3 ,50.7%,2.9%,210,0.1%,"3,249"
6,Jett,duelist,Swiftplay,Lotus,,1.09, 6  /  5.5  /  1.5 ,50.5%,11.1%,234,0.1%,"12,424"
7,Cypher,sentinel,Swiftplay,Lotus,,1.0, 5.1  /  5.1  /  1.7 ,50.1%,2.8%,199,0.2%,"3,167"
8,Skye,initiator,Swiftplay,Lotus,,0.89, 4.8  /  5.3  /  2.6 ,50.0%,3.6%,190,0.1%,"4,065"
9,Sage,sentinel,Swiftplay,Lotus,,0.86, 4.5  /  5.2  /  2.3 ,49.9%,9.0%,179,0.1%,"10,087"
10,Neon,duelist,Swiftplay,Lotus,,0.95, 5.3  /  5.6  /  1.5 ,49.8%,5.7%,212,0.1%,"6,396"
11,Chamber,sentinel,Swiftplay,Lotus,,1.05, 5.6  /  5.3  /  1.3 ,49.7%,3.6%,215,0.1%,"4,020"
12,Astra,controller,Swiftplay,Lotus,,1.04, 5.3  /  5.1  /  1.9 ,49.6%,1.3%,208,0.1%,"1,460"
13,Fade,initiator,Swiftplay,Lotus,,0.85, 4.6  /  5.4  /  2.2 ,49.0%,4.5%,183,0.1%,"5,075"
14,Omen,controller,Swiftplay,Lotus,,0.96, 5.1  /  5.3  /  1.9 ,49.0%,5.1%,201,0.1%,"5,706"
15,Viper,controller,Swiftplay,Lotus,,0.9, 4.8  /  5.3  /  1.7 ,48.7%,2.4%,189,0.1%,"2,696"
16,Harbor,controller,Swiftplay,Lotus,,0.96, 5.2  /  5.4  /  2 ,48.6%,1.8%,202,0.1%,"1,974"
17,Sova,initiator,Swiftplay,Lotus,,0.88, 4.7  /  5.3  /  1.8 ,48.3%,3.5%,186,0.1%,"3,902"
18,KAY/O,initiator,Swiftplay,Lotus,,0.9, 4.9  /  5.5  /  2.9 ,48.2%,3.8%,199,0.1%,"4,292"
19,Yoru,duelist,Swiftplay,Lotus,,0.95, 5.1  /  5.4  /  1.6 ,48.2%,4.5%,201,0.1%,"4,993"
20,Brimstone,controller,Swiftplay,Lotus,,0.91, 4.9  /  5.3  /  2.3 ,46.9%,2.0%,196,0.1%,"2,240"
1,Jett,duelist,Custom,All,,1.08, 15.7  /  14.6  /  2.8 ,48.1%,11.0%,263,0.2%,"33,383"
2,Killjoy,sentinel,Custom,All,,0.99, 14.7  /  14.9  /  3.6 ,47.5%,6.2%,261,0.1%,"18,698"
3,Raze,duelist,Custom,All,,1.0, 16  /  15.9  /  3.8 ,47.2%,6.8%,297,0.2%,"20,630"
4,Reyna,duelist,Custom,All,,1.17, 17.1  /  14.6  /  3.4 ,46.7%,8.1%,306,0.2%,"24,573"
5,Sage,sentinel,Custom,All,,0.86, 12.9  /  15.1  /  5.2 ,45.6%,7.5%,242,0.1%,"22,668"
6,Omen,controller,Custom,All,,0.99, 15.3  /  15.5  /  5.7 ,45.3%,5.7%,283,0.1%,"17,377"
7,Cypher,sentinel,Custom,All,,1.0, 16  /  15.9  /  4 ,45.1%,4.0%,320,0.1%,"12,186"
8,Sova,initiator,Custom,All,,0.99, 15.4  /  15.6  /  4.6 ,45.0%,6.3%,291,0.1%,"19,013"
9,Fade,initiator,Custom,All,,0.95, 15.1  /  16  /  5.1 ,44.7%,4.2%,301,0.1%,"12,865"
10,Viper,controller,Custom,All,,0.99, 15.9  /  16.1  /  4.5 ,44.6%,4.0%,330,0.1%,"12,142"
11,Skye,initiator,Custom,All,,1.0, 16  /  16  /  5.4 ,44.1%,3.9%,315,0.1%,"11,972"
12,Breach,initiator,Custom,All,,0.96, 15.9  /  16.5  /  5.9 ,44.0%,3.7%,322,0.1%,"11,220"
13,Neon,duelist,Custom,All,,1.02, 16.5  /  16.1  /  3.2 ,44.0%,3.8%,347,0.1%,"11,513"
